epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,162.914,0.321,0.25749,0.80318,0.98927,1,0.995,0.95955,0.32212,0.16846,0.73385,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,166.106,0.32478,0.28602,0.77875,0.98927,1,0.995,0.95955,0.32212,0.16846,0.73385,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,169.459,0.32725,0.28576,0.79418,0.99125,1,0.995,0.966,0.28726,0.15596,0.72874,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,172.801,0.31004,0.25287,0.82104,0.99008,1,0.995,0.94889,0.30382,0.16176,0.73245,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
48,176.21,0.30474,0.28043,0.82084,0.99008,1,0.995,0.94889,0.30382,0.16176,0.73245,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,179.561,0.33016,0.27872,0.79073,0.98683,1,0.995,0.95313,0.30817,0.1511,0.73316,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,182.925,0.32703,0.25495,0.80907,0.98683,1,0.995,0.95313,0.30817,0.1511,0.73316,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,186.256,0.34512,0.27363,0.82564,0.98965,1,0.995,0.9674,0.28914,0.13903,0.72865,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
52,189.61,0.30317,0.24706,0.80409,0.98488,1,0.995,0.97002,0.30187,0.1524,0.73201,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,194.49,0.30939,0.26045,0.80813,0.98488,1,0.995,0.97002,0.30187,0.1524,0.73201,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,198.943,0.29622,0.22973,0.80496,0.99094,1,0.995,0.97174,0.29016,0.14279,0.73045,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,202.248,0.32714,0.24949,0.81194,0.98995,1,0.995,0.94737,0.30522,0.15051,0.73108,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
56,205.461,0.30903,0.24414,0.81348,0.98995,1,0.995,0.94737,0.30522,0.15051,0.73108,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,209.049,0.31475,0.26383,0.80885,0.99075,1,0.995,0.9789,0.28581,0.14711,0.72729,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,212.609,0.31088,0.27394,0.81452,0.99075,1,0.995,0.9789,0.28581,0.14711,0.72729,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,216.304,0.31934,0.23152,0.80843,0.99128,1,0.995,0.96372,0.31006,0.15861,0.73114,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,219.66,0.29817,0.22429,0.80442,0.99046,1,0.995,0.97175,0.30303,0.15067,0.73027,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,225.849,0.32026,0.25556,0.82271,0.99046,1,0.995,0.97175,0.30303,0.15067,0.73027,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,229.215,0.30358,0.21817,0.80546,0.9935,1,0.995,0.97281,0.29805,0.15345,0.72865,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,232.614,0.2905,0.22749,0.81479,0.99022,1,0.995,0.97261,0.30051,0.14915,0.72944,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,235.796,0.32043,0.24896,0.81156,0.99022,1,0.995,0.97261,0.30051,0.14915,0.72944,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
65,239.123,0.3126,0.22869,0.8154,0.99063,1,0.995,0.9694,0.3025,0.14932,0.73064,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,242.463,0.31575,0.23225,0.82312,0.99063,1,0.995,0.9694,0.3025,0.14932,0.73064,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
